,urls,type
0,https://www.census.gov/en.html,inbound
1,https://www.census.gov/topics/population/age-and-sex.html,inbound
2,https://www.census.gov/topics/business-economy.html,inbound
3,https://www.census.gov/topics/education.html,inbound
4,https://www.census.gov/topics/preparedness.html,inbound
5,https://www.census.gov/topics/employment.html,inbound
6,https://www.census.gov/topics/families.html,inbound
7,https://www.census.gov/topics/population/migration.html,inbound
8,https://www.census.gov/geography.html,inbound
9,https://www.census.gov/topics/health.html,inbound
10,https://www.census.gov/topics/population/hispanic-origin.html,inbound
11,https://www.census.gov/topics/housing.html,inbound
12,https://www.census.gov/topics/income-poverty.html,inbound
13,https://www.census.gov/topics/international-trade.html,inbound
14,https://www.census.gov/topics/population.html,inbound
15,https://www.census.gov/topics/population/population-estimates.html,inbound
16,https://www.census.gov/topics/public-sector.html,inbound
17,https://www.census.gov/topics/population/race.html,inbound
18,https://www.census.gov/topics/research.html,inbound
19,https://www.census.gov/topics/public-sector/voting.html,inbound
20,https://www.census.gov/about/index.html,inbound
21,https://www.census.gov/data.html,inbound
22,https://www.census.gov/academy,inbound
23,https://www.census.gov/about/what/admin-data.html,inbound
24,https://www.census.gov/data/data-tools.html,inbound
25,https://www.census.gov/developers/,inbound
26,https://www.census.gov/data/related-sites.html,inbound
27,https://www.census.gov/data/software.html,inbound
28,https://www.census.gov/data/tables.html,inbound
29,https://www.census.gov/data/training-workshops.html,inbound
30,https://www.census.gov/library/visualizations.html,inbound
31,https://www.census.gov/library.html,inbound
32,https://www.census.gov/AmericaCounts,inbound
33,https://www.census.gov/library/audio.html,inbound
34,https://www.census.gov/library/photos.html,inbound
35,https://www.census.gov/library/publications.html,inbound
36,https://www.census.gov/library/video.html,inbound
37,https://www.census.gov/library/working-papers.html,inbound
38,https://www.census.gov/programs-surveys.html,inbound
39,https://www.census.gov/programs-surveys/are-you-in-a-survey.html,inbound
40,https://www.census.gov/2020census,inbound
41,https://www.census.gov/programs-surveys/decennial-census/decade/2010.html,inbound
42,https://www.census.gov/programs-surveys/acs,inbound
43,https://www.census.gov/programs-surveys/ahs.html,inbound
44,https://www.census.gov/programs-surveys/abs.html,inbound
45,https://www.census.gov/programs-surveys/asm.html,inbound
46,https://www.census.gov/programs-surveys/cog.html,inbound
47,https://www.census.gov/programs-surveys/cbp.html,inbound
48,https://www.census.gov/programs-surveys/cps.html,inbound
49,https://www.census.gov/EconomicCensus,inbound
50,https://www.census.gov/internationalprograms,inbound
51,https://www.census.gov/programs-surveys/metro-micro.html,inbound
52,https://www.census.gov/programs-surveys/popproj.html,inbound
